Position,typr,X1,X2,id,company,batch
6.0,C,[5.570651975743417:115.84439182349811],447.0,cholesterol_01A,A,01
6.0,C,[5.271149100365698:121.93402878602774],447.0,cholesterol_01A,A,01
6.0,C,[5.711755036110221:124.40499412124593],447.0,cholesterol_01A,A,01
6.0,C,[5.375939078346747:122.2572126757082],447.0,cholesterol_01A,A,01
3.0,CH-OH,[3.6080470427268:73.66050434191045],390.0,cholesterol_01A,A,01
3.0,CH-OH,[3.3531404397044526:78.07481572527355],390.0,cholesterol_01A,A,01
3.0,CH-OH,[3.6267178061877887:68.61461448112888],390.0,cholesterol_01A,A,01
14.0,CH,[1.0318725962173811:58.41108594879654],383.0,cholesterol_01A,A,01
14.0,CH,[0.9923159492207676:53.96090518073019],383.0,cholesterol_01A,A,01
14.0,CH,[1.0306902151217294:57.385740766795365],383.0,cholesterol_01A,A,01
17.0,CH,[1.1166770707680982:55.237557237273585],404.0,cholesterol_01A,A,01
17.0,CH,[1.1330481067048668:58.32788632410687],404.0,cholesterol_01A,A,01
17.0,CH,[1.1236212711569389:54.652148434196405],404.0,cholesterol_01A,A,01
17.0,CH,[1.08170596794359:56.9743070539479],404.0,cholesterol_01A,A,01
9.0,CH,[0.9215147010169789:48.19848899252307],567.0,cholesterol_01A,A,01
9.0,CH,[0.8731173450059131:46.854814066021596],567.0,cholesterol_01A,A,01
9.0,CH,[0.9205923782423945:50.75340512683756],567.0,cholesterol_01A,A,01
9.0,CH,[0.9057662275838337:52.70513384787869],567.0,cholesterol_01A,A,01
9.0,CH,[0.9494999629523797:50.88176163682199],567.0,cholesterol_01A,A,01
4.0,CH2,[2.413443157541498:41.028251607725615],1000.0,cholesterol_01A,A,01
4.0,CH2,[2.364635144124545:42.64053049075762],1000.0,cholesterol_01A,A,01
4.0,CH2,[2.191108119874974:43.27354469490924],1000.0,cholesterol_01A,A,01
4.0,CH2,[2.356258931351206:43.81172420199226],1000.0,cholesterol_01A,A,01
4.0,CH2,[2.2430978335184517:40.83124568554017],1000.0,cholesterol_01A,A,01
4.0,CH2,[2.350475214887284:43.18357855257928],1000.0,cholesterol_01A,A,01
4.0,CH2,[2.331015310049636:42.74590589727021],1000.0,cholesterol_01A,A,01
4.0,CH2,[2.2440968970070143:42.25886525965871],1000.0,cholesterol_01A,A,01
4.0,CH2,[2.2281477706705015:42.316727423901675],1000.0,cholesterol_01A,A,01
4.0,CH2,[2.378370142176378:41.4380317884569],1000.0,cholesterol_01A,A,01
12.0,CH2,[2.1378217606170127:39.059084759133086],440.0,cholesterol_01A,A,01
12.0,CH2,[2.0070107820260397:41.3894697745821],440.0,cholesterol_01A,A,01
