Position;typr;C13;H1;intensity
5;C;140.8;N/A;454
6;C;121.7;5.35;447
3;CH-OH;71.8;3.52;390
14;CH;56.8;1.01;383
17;CH;56.1;1.10;404
9;CH;50.1;0.92;567
4;CH2;42.3;2.32;1000
13;C;42.3;N/A;
12;CH2;39.8;2.01;440
24;CH2;39.5;1.14;567
1;CH2;37.3;1.85;489
10;C;36.5;N/A;426
22;CH2;36.2;1.34;496
20;CH;35.8;1.35;454
7;CH2;31.9;1.98;965
8;CH;31.9;1.48;
2;CH2;31.7;1.84;340
16;CH2;28.2;1.84;362
25;CH;28.0;1.52;525
15;CH2;24.3;1.57;525
23;CH2;23.8;1.33;468
27;CH3;22.8;0.87;468
26;CH3;22.6;0.86;383
11;CH2;21.1;1.48;355
19;CH3;19.4;1.01;454
21;CH3;18.7;0.91;397
18;CH3;11.9;0.68;262
28;C;173.82;N/A;893
29;CH2;27.90;2.30;724
30;CH3;9.19;1.13;485
